八犬传：东方八犬异闻,7.7,柿原彻也 日野聪 冈本信彦 高垣彩阳 前野智昭,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2221084628.jpg,https://movie.douban.com/subject/10833949/
地狱少女 三鼎,7.8,能登麻美子 松风雅也 本田贵子 菅生隆之 佐藤聪美,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2431668062.jpg,https://movie.douban.com/subject/3618714/
魔神英雄传2,9.0,田中真弓 西村知道 山寺宏一,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2154784196.jpg,https://movie.douban.com/subject/3722625/
刻刻,7.9,安济知佳 濑户麻沙美 山路和弘 岩田龙门 辻谷耕史,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2502221780.jpg,https://movie.douban.com/subject/27173361/
降世神通 第一季,8.9,扎克·泰勒 梅·惠特曼 杰克·德·塞纳 丹特·巴斯克 杰西·弗劳尔,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2524057343.jpg,https://movie.douban.com/subject/1938084/
魔奇少年,7.5,石原夏织 梶裕贵 户松遥 小野大辅 樱井孝宏,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2231868342.jpg,https://movie.douban.com/subject/10810306/
小魔女学园 TV版,8.8,潘惠美 日高法子 日笠阳子 折笠富美子 村川梨衣,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2402836359.jpg,https://movie.douban.com/subject/26826078/
斗罗大陆,7.2,沈磊 程玉珠 王肖兵 倪康 赵乾景,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2510966013.jpg,https://movie.douban.com/subject/27040807/
高桥留美子剧场 人鱼之森,8.4,山寺宏一 高山南,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2512464233.jpg,https://movie.douban.com/subject/1766781/
这就是僵尸吗？,7.0,间岛淳司 日笠阳子 金元寿子 吉野裕行 清水爱,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2186885897.jpg,https://movie.douban.com/subject/4845420/
秀逗魔导士NEXT,9.1,林原惠美 松本保典 绿川光 铃木真仁 石田彰,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2260258482.jpg,https://movie.douban.com/subject/1766532/
命运/外典,4.6,花江夏树 坂本真绫 内山昂辉 泽城美雪 早见沙织,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2473372810.jpg,https://movie.douban.com/subject/26946626/
不死者之王 第二季,7.9,日野聪 原由实 上坂堇 加藤英美里 内山夕实,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2500410843.jpg,https://movie.douban.com/subject/26994749/
丹特丽安的书架,7.3,小野大辅 泽城美雪,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2300508581.jpg,https://movie.douban.com/subject/7947370/
真月谭 月姬,7.3,铃村健一 生天目仁美 折笠富美子 伊藤静 かかずゆみ,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2257387213.jpg,https://movie.douban.com/subject/1856680/
幻想魔传 最游记,8.5,关俊彦 保志总一朗 石田彰 平田广明,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2242703388.jpg,https://movie.douban.com/subject/2295759/
结界师,8.0,吉野裕行,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2257390146.jpg,https://movie.douban.com/subject/1998238/
记录的地平线,8.3,寺岛拓笃 加藤英美里 前野智昭,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2155042533.jpg,https://movie.douban.com/subject/21323283/
恶魔城 第一季,7.6,理查德·阿米蒂奇 詹姆斯·卡利斯 格拉汉姆·麦克泰维什 托尼·阿门多拉 马特·弗里沃,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2461353551.jpg,https://movie.douban.com/subject/26982974/
零之使魔2 ～双月的骑士～,7.1,釘宮理恵 日野聡,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2260272092.jpg,https://movie.douban.com/subject/2154321/
血界战线 & BEYOND,9.1,小山力也 阪口大助 中井和哉 宫本充 小林优,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2405993628.jpg,https://movie.douban.com/subject/26924780/
圣枪修女,7.9,川上伦子 石田彰 千叶纱子,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2510189782.jpg,https://movie.douban.com/subject/1769995/
巴哈姆特之怒  GENESIS,8.0,吉野裕行 井上刚 清水理沙 泽城美雪 潘惠美,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2199436772.jpg,https://movie.douban.com/subject/25802393/
降魔勇士,8.4,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2352298143.jpg,https://movie.douban.com/subject/2142778/
血意少年,7.5,逢坂良太 野水伊织 寺岛拓笃 布里德卡特·塞拉·惠美 木村良平,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1902986319.jpg,https://movie.douban.com/subject/11639171/
伊克西翁传说DT,8.1,江口拓也 神谷浩史 中井和哉 细谷佳正 梶裕贵,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1728139070.jpg,https://movie.douban.com/subject/10810287/
魔法科高校的劣等生,5.5,中村悠一 早见沙织 雨宫天,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2191065053.jpg,https://movie.douban.com/subject/25741564/
鬼神童子,8.5,横山智佐 山口胜平 小杉十郎太,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2519824139.jpg,https://movie.douban.com/subject/2336957/
今天开始做魔王 第二季,7.5,樱井孝宏 森川智之 斋贺光希 井上和彦 胜生真沙子,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2221051109.jpg,https://movie.douban.com/subject/2305535/
成龙历险记 第二季,8.5,成龙 詹姆士·谢 夏野萨博,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2152803944.jpg,https://movie.douban.com/subject/25715362/
八犬传：东方八犬异闻  第二季,8.1,柿原彻也 冈本信彦 日野聪 高垣彩阳 神谷浩史,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2023897657.jpg,https://movie.douban.com/subject/23045515/
降世神通 第二季,9.2,扎克·泰勒 梅·惠特曼 杰克·德·塞纳 丹特·巴斯克 迪·布拉雷·贝克尔,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2516706431.jpg,https://movie.douban.com/subject/2270294/
蔷薇少女 梦见,8.0,泽城美雪 真田麻美 田中理惠 后藤沙绪里 桑谷夏子,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2509250485.jpg,https://movie.douban.com/subject/3320149/
精灵世纪,9.3,成龙 李咏 林继东 边辉 姬他,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2461278860.jpg,https://movie.douban.com/subject/4097232/
废弃公主,7.7,折笠富美子 三木眞一郎 大原さやか 川澄綾子,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2326409817.jpg,https://movie.douban.com/subject/1770033/
小讨厌,8.7,二又一成 盐泽兼人,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1361275526.jpg,https://movie.douban.com/subject/2330663/
魔豆传奇,8.7,王晓燕 腾腾 纪元 李星珠 赵岭,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2256510851.jpg,https://movie.douban.com/subject/4306679/
零之使魔 三美姫的轮舞,6.8,釘宮理恵 日野聡 堀江由衣,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2390559006.jpg,https://movie.douban.com/subject/3138561/
魔王勇者,7.3,小清水亚美 福山润 斋藤千和 户松遥 东山奈央,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1640862280.jpg,https://movie.douban.com/subject/10864705/
降世神通 第三季,9.3,扎克·泰勒 梅·惠特曼 杰克·德·塞纳 杰西·弗劳尔 丹特·巴斯克,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2524056899.jpg,https://movie.douban.com/subject/2270295/
红白黑黄 第二季,9.1,Monty Oum Lindsay Tuggey Kara Eberle Arryn Zech Barbara Dunkelman,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2169774214.jpg,https://movie.douban.com/subject/25826669/
问题儿童都来自异世界?,7.0,野水伊織 浅沼晋太郎 ブリドカット·セーラ·恵美 中島愛 五十嵐裕美,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2315365367.jpg,https://movie.douban.com/subject/11525790/
魔侦探洛基 RAGNAROK,7.1,渊崎ゆり子 樱井孝宏 南央美 远近孝一 堀江由衣,https://img3.doubanio.com/view/subject/l/public/s4130176.jpg,https://movie.douban.com/subject/1949489/
传颂之物,7.4,小山力也 柚木涼香 沢城みゆき 渡边明乃 浪川大辅,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2508679471.jpg,https://movie.douban.com/subject/2043493/
灼眼的夏娜3,7.4,钉宫理惠 日野聪 川澄绫子 能登麻美子 伊藤静,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2237886161.jpg,https://movie.douban.com/subject/6518728/
六花的勇者,6.7,齐藤壮马 日笠阳子 悠木碧 铃村健一 佐藤利奈,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2269019207.jpg,https://movie.douban.com/subject/26265948/
剑风传奇,7.8,岩永洋昭 樱井孝宏 水原薫 大塚明夫 日笠阳子,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2359053149.jpg,https://movie.douban.com/subject/26692622/
秀逗魔导士第三部,9.0,林原惠美 松本保典 绿川光 铃木真仁 冬马由美,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2260258714.jpg,https://movie.douban.com/subject/1766534/
